Województwo,Przestępstwo,Kwartał,Rok,Liczba
KUJAWSKO-POMORSKIE,ogółem,1 kwartał,2020,8592.0
LUBELSKIE,ogółem,1 kwartał,2020,6949.0
LUBUSKIE,ogółem,1 kwartał,2020,6791.0
ŁÓDZKIE,ogółem,1 kwartał,2020,10370.0
MAŁOPOLSKIE,ogółem,1 kwartał,2020,25905.0
MAZOWIECKIE,ogółem,1 kwartał,2020,30428.0
OPOLSKIE,ogółem,1 kwartał,2020,3849.0
PODKARPACKIE,ogółem,1 kwartał,2020,12972.0
PODLASKIE,ogółem,1 kwartał,2020,3558.0
POMORSKIE,ogółem,1 kwartał,2020,11182.0
ŚLĄSKIE,ogółem,1 kwartał,2020,41129.0
ŚWIĘTOKRZYSKIE,ogółem,1 kwartał,2020,7936.0
WARMIŃSKO-MAZURSKIE,ogółem,1 kwartał,2020,5584.0
WIELKOPOLSKIE,ogółem,1 kwartał,2020,16243.0
ZACHODNIOPOMORSKIE,ogółem,1 kwartał,2020,8608.0
POLSKA,ogółem,1 kwartał,2021,218431.0
DOLNOŚLĄSKIE,ogółem,1 kwartał,2021,18791.0
KUJAWSKO-POMORSKIE,ogółem,1 kwartał,2021,9878.0
LUBELSKIE,ogółem,1 kwartał,2021,7662.0
LUBUSKIE,ogółem,1 kwartał,2021,8640.0
ŁÓDZKIE,ogółem,1 kwartał,2021,11017.0
MAŁOPOLSKIE,ogółem,1 kwartał,2021,26040.0
MAZOWIECKIE,ogółem,1 kwartał,2021,28905.0
OPOLSKIE,ogółem,1 kwartał,2021,4251.0
PODKARPACKIE,ogółem,1 kwartał,2021,7584.0
PODLASKIE,ogółem,1 kwartał,2021,4093.0
POMORSKIE,ogółem,1 kwartał,2021,14098.0
ŚLĄSKIE,ogółem,1 kwartał,2021,36854.0
ŚWIĘTOKRZYSKIE,ogółem,1 kwartał,2021,6022.0
WARMIŃSKO-MAZURSKIE,ogółem,1 kwartał,2021,5289.0
WIELKOPOLSKIE,ogółem,1 kwartał,2021,16804.0
ZACHODNIOPOMORSKIE,ogółem,1 kwartał,2021,12503.0
POLSKA,ogółem,1 kwartał,2022,230360.0
DOLNOŚLĄSKIE,ogółem,1 kwartał,2022,18653.0
KUJAWSKO-POMORSKIE,ogółem,1 kwartał,2022,11217.0
LUBELSKIE,ogółem,1 kwartał,2022,7678.0
LUBUSKIE,ogółem,1 kwartał,2022,6170.0
ŁÓDZKIE,ogółem,1 kwartał,2022,12477.0
MAŁOPOLSKIE,ogółem,1 kwartał,2022,30361.0
MAZOWIECKIE,ogółem,1 kwartał,2022,32449.0
OPOLSKIE,ogółem,1 kwartał,2022,3620.0
PODKARPACKIE,ogółem,1 kwartał,2022,6248.0
PODLASKIE,ogółem,1 kwartał,2022,5604.0
POMORSKIE,ogółem,1 kwartał,2022,13116.0
ŚLĄSKIE,ogółem,1 kwartał,2022,44316.0
ŚWIĘTOKRZYSKIE,ogółem,1 kwartał,2022,6202.0
WARMIŃSKO-MAZURSKIE,ogółem,1 kwartał,2022,5583.0
WIELKOPOLSKIE,ogółem,1 kwartał,2022,18065.0
ZACHODNIOPOMORSKIE,ogółem,1 kwartał,2022,8601.0
POLSKA,ogółem,1 kwartał,2023,228666.0
DOLNOŚLĄSKIE,ogółem,1 kwartał,2023,20316.0
KUJAWSKO-POMORSKIE,ogółem,1 kwartał,2023,11542.0
LUBELSKIE,ogółem,1 kwartał,2023,7190.0
LUBUSKIE,ogółem,1 kwartał,2023,7400.0
ŁÓDZKIE,ogółem,1 kwartał,2023,11854.0
MAŁOPOLSKIE,ogółem,1 kwartał,2023,27062.0
MAZOWIECKIE,ogółem,1 kwartał,2023,35132.0
OPOLSKIE,ogółem,1 kwartał,2023,3694.0
PODKARPACKIE,ogółem,1 kwartał,2023,4959.0
PODLASKIE,ogółem,1 kwartał,2023,4541.0
POMORSKIE,ogółem,1 kwartał,2023,18359.0
ŚLĄSKIE,ogółem,1 kwartał,2023,36957.0
ŚWIĘTOKRZYSKIE,ogółem,1 kwartał,2023,5940.0
WARMIŃSKO-MAZURSKIE,ogółem,1 kwartał,2023,7019.0
WIELKOPOLSKIE,ogółem,1 kwartał,2023,16871.0
ZACHODNIOPOMORSKIE,ogółem,1 kwartał,2023,9830.0
POLSKA,ogółem,1 kwartał,2024,232689.0
DOLNOŚLĄSKIE,ogółem,1 kwartał,2024,20439.0
KUJAWSKO-POMORSKIE,ogółem,1 kwartał,2024,10509.0
LUBELSKIE,ogółem,1 kwartał,2024,7490.0
LUBUSKIE,ogółem,1 kwartał,2024,6274.0
ŁÓDZKIE,ogółem,1 kwartał,2024,13798.0
MAŁOPOLSKIE,ogółem,1 kwartał,2024,44246.0
MAZOWIECKIE,ogółem,1 kwartał,2024,30007.0
OPOLSKIE,ogółem,1 kwartał,2024,3750.0
PODKARPACKIE,ogółem,1 kwartał,2024,6342.0
PODLASKIE,ogółem,1 kwartał,2024,3657.0
POMORSKIE,ogółem,1 kwartał,2024,13685.0
ŚLĄSKIE,ogółem,1 kwartał,2024,34539.0
ŚWIĘTOKRZYSKIE,ogółem,1 kwartał,2024,5123.0
WARMIŃSKO-MAZURSKIE,ogółem,1 kwartał,2024,6775.0
WIELKOPOLSKIE,ogółem,1 kwartał,2024,18057.0
ZACHODNIOPOMORSKIE,ogółem,1 kwartał,2024,7998.0
POLSKA,o charakterze kryminalnym,1 kwartał,2016,118219.0
DOLNOŚLĄSKIE,o charakterze kryminalnym,1 kwartał,2016,11232.0
KUJAWSKO-POMORSKIE,o charakterze kryminalnym,1 kwartał,2016,5693.0
LUBELSKIE,o charakterze kryminalnym,1 kwartał,2016,4133.0
LUBUSKIE,o charakterze kryminalnym,1 kwartał,2016,3761.0
ŁÓDZKIE,o charakterze kryminalnym,1 kwartał,2016,7502.0
MAŁOPOLSKIE,o charakterze kryminalnym,1 kwartał,2016,11681.0
MAZOWIECKIE,o charakterze kryminalnym,1 kwartał,2016,17526.0
OPOLSKIE,o charakterze kryminalnym,1 kwartał,2016,2678.0
PODKARPACKIE,o charakterze kryminalnym,1 kwartał,2016,2820.0
PODLASKIE,o charakterze kryminalnym,1 kwartał,2016,2746.0
POMORSKIE,o charakterze kryminalnym,1 kwartał,2016,7663.0
ŚLĄSKIE,o charakterze kryminalnym,1 kwartał,2016,17568.0
ŚWIĘTOKRZYSKIE,o charakterze kryminalnym,1 kwartał,2016,2524.0
WARMIŃSKO-MAZURSKIE,o charakterze kryminalnym,1 kwartał,2016,3689.0
WIELKOPOLSKIE,o charakterze kryminalnym,1 kwartał,2016,10035.0
ZACHODNIOPOMORSKIE,o charakterze kryminalnym,1 kwartał,2016,6968.0
POLSKA,o charakterze kryminalnym,1 kwartał,2017,118844.0
DOLNOŚLĄSKIE,o charakterze kryminalnym,1 kwartał,2017,11518.0
KUJAWSKO-POMORSKIE,o charakterze kryminalnym,1 kwartał,2017,5282.0
LUBELSKIE,o charakterze kryminalnym,1 kwartał,2017,4742.0
LUBUSKIE,o charakterze kryminalnym,1 kwartał,2017,3542.0
ŁÓDZKIE,o charakterze kryminalnym,1 kwartał,2017,6855.0
MAŁOPOLSKIE,o charakterze kryminalnym,1 kwartał,2017,13161.0
MAZOWIECKIE,o charakterze kryminalnym,1 kwartał,2017,17159.0
OPOLSKIE,o charakterze kryminalnym,1 kwartał,2017,2604.0
PODKARPACKIE,o charakterze kryminalnym,1 kwartał,2017,3003.0
PODLASKIE,o charakterze kryminalnym,1 kwartał,2017,2114.0
POMORSKIE,o charakterze kryminalnym,1 kwartał,2017,7280.0
ŚLĄSKIE,o charakterze kryminalnym,1 kwartał,2017,19876.0
ŚWIĘTOKRZYSKIE,o charakterze kryminalnym,1 kwartał,2017,3025.0
WARMIŃSKO-MAZURSKIE,o charakterze kryminalnym,1 kwartał,2017,3412.0
WIELKOPOLSKIE,o charakterze kryminalnym,1 kwartał,2017,8911.0
ZACHODNIOPOMORSKIE,o charakterze kryminalnym,1 kwartał,2017,6360.0
POLSKA,o charakterze kryminalnym,1 kwartał,2018,119229.0
DOLNOŚLĄSKIE,o charakterze kryminalnym,1 kwartał,2018,11992.0
KUJAWSKO-POMORSKIE,o charakterze kryminalnym,1 kwartał,2018,5370.0
LUBELSKIE,o charakterze kryminalnym,1 kwartał,2018,4848.0
LUBUSKIE,o charakterze kryminalnym,1 kwartał,2018,4151.0
ŁÓDZKIE,o charakterze kryminalnym,1 kwartał,2018,6599.0
MAŁOPOLSKIE,o charakterze kryminalnym,1 kwartał,2018,12002.0
MAZOWIECKIE,o charakterze kryminalnym,1 kwartał,2018,17923.0
OPOLSKIE,o charakterze kryminalnym,1 kwartał,2018,2506.0
PODKARPACKIE,o charakterze kryminalnym,1 kwartał,2018,3402.0
PODLASKIE,o charakterze kryminalnym,1 kwartał,2018,2197.0
POMORSKIE,o charakterze kryminalnym,1 kwartał,2018,7347.0
ŚLĄSKIE,o charakterze kryminalnym,1 kwartał,2018,17556.0
ŚWIĘTOKRZYSKIE,o charakterze kryminalnym,1 kwartał,2018,3071.0
WARMIŃSKO-MAZURSKIE,o charakterze kryminalnym,1 kwartał,2018,3624.0
WIELKOPOLSKIE,o charakterze kryminalnym,1 kwartał,2018,9174.0
ZACHODNIOPOMORSKIE,o charakterze kryminalnym,1 kwartał,2018,7467.0
POLSKA,o charakterze kryminalnym,1 kwartał,2019,120616.0
DOLNOŚLĄSKIE,o charakterze kryminalnym,1 kwartał,2019,11161.0
KUJAWSKO-POMORSKIE,o charakterze kryminalnym,1 kwartał,2019,5318.0
LUBELSKIE,o charakterze kryminalnym,1 kwartał,2019,4765.0
LUBUSKIE,o charakterze kryminalnym,1 kwartał,2019,3853.0
ŁÓDZKIE,o charakterze kryminalnym,1 kwartał,2019,6575.0
MAŁOPOLSKIE,o charakterze kryminalnym,1 kwartał,2019,11838.0
MAZOWIECKIE,o charakterze kryminalnym,1 kwartał,2019,18471.0
OPOLSKIE,o charakterze kryminalnym,1 kwartał,2019,2301.0
PODKARPACKIE,o charakterze kryminalnym,1 kwartał,2019,3475.0
PODLASKIE,o charakterze kryminalnym,1 kwartał,2019,2176.0
POMORSKIE,o charakterze kryminalnym,1 kwartał,2019,7732.0
ŚLĄSKIE,o charakterze kryminalnym,1 kwartał,2019,19500.0
ŚWIĘTOKRZYSKIE,o charakterze kryminalnym,1 kwartał,2019,2965.0
WARMIŃSKO-MAZURSKIE,o charakterze kryminalnym,1 kwartał,2019,3793.0
WIELKOPOLSKIE,o charakterze kryminalnym,1 kwartał,2019,10430.0
ZACHODNIOPOMORSKIE,o charakterze kryminalnym,1 kwartał,2019,6263.0
POLSKA,o charakterze kryminalnym,1 kwartał,2020,112677.0
DOLNOŚLĄSKIE,o charakterze kryminalnym,1 kwartał,2020,10662.0
KUJAWSKO-POMORSKIE,o charakterze kryminalnym,1 kwartał,2020,5292.0
LUBELSKIE,o charakterze kryminalnym,1 kwartał,2020,4130.0
LUBUSKIE,o charakterze kryminalnym,1 kwartał,2020,3595.0
ŁÓDZKIE,o charakterze kryminalnym,1 kwartał,2020,6512.0
MAŁOPOLSKIE,o charakterze kryminalnym,1 kwartał,2020,10164.0
MAZOWIECKIE,o charakterze kryminalnym,1 kwartał,2020,18884.0
OPOLSKIE,o charakterze kryminalnym,1 kwartał,2020,2684.0
PODKARPACKIE,o charakterze kryminalnym,1 kwartał,2020,3474.0
PODLASKIE,o charakterze kryminalnym,1 kwartał,2020,2197.0
POMORSKIE,o charakterze kryminalnym,1 kwartał,2020,7221.0
ŚLĄSKIE,o charakterze kryminalnym,1 kwartał,2020,16654.0
ŚWIĘTOKRZYSKIE,o charakterze kryminalnym,1 kwartał,2020,2943.0
WARMIŃSKO-MAZURSKIE,o charakterze kryminalnym,1 kwartał,2020,3547.0
WIELKOPOLSKIE,o charakterze kryminalnym,1 kwartał,2020,8958.0
ZACHODNIOPOMORSKIE,o charakterze kryminalnym,1 kwartał,2020,5760.0
POLSKA,o charakterze kryminalnym,1 kwartał,2021,119668.0
DOLNOŚLĄSKIE,o charakterze kryminalnym,1 kwartał,2021,11833.0
KUJAWSKO-POMORSKIE,o charakterze kryminalnym,1 kwartał,2021,5800.0
LUBELSKIE,o charakterze kryminalnym,1 kwartał,2021,4457.0
LUBUSKIE,o charakterze kryminalnym,1 kwartał,2021,3941.0
ŁÓDZKIE,o charakterze kryminalnym,1 kwartał,2021,6528.0
MAŁOPOLSKIE,o charakterze kryminalnym,1 kwartał,2021,10740.0
MAZOWIECKIE,o charakterze kryminalnym,1 kwartał,2021,17505.0
OPOLSKIE,o charakterze kryminalnym,1 kwartał,2021,2138.0
PODKARPACKIE,o charakterze kryminalnym,1 kwartał,2021,2845.0
PODLASKIE,o charakterze kryminalnym,1 kwartał,2021,2311.0
POMORSKIE,o charakterze kryminalnym,1 kwartał,2021,7729.0
ŚLĄSKIE,o charakterze kryminalnym,1 kwartał,2021,17577.0
ŚWIĘTOKRZYSKIE,o charakterze kryminalnym,1 kwartał,2021,3659.0
WARMIŃSKO-MAZURSKIE,o charakterze kryminalnym,1 kwartał,2021,3349.0
WIELKOPOLSKIE,o charakterze kryminalnym,1 kwartał,2021,10303.0
ZACHODNIOPOMORSKIE,o charakterze kryminalnym,1 kwartał,2021,8953.0
POLSKA,o charakterze kryminalnym,1 kwartał,2022,122074.0
DOLNOŚLĄSKIE,o charakterze kryminalnym,1 kwartał,2022,11342.0
KUJAWSKO-POMORSKIE,o charakterze kryminalnym,1 kwartał,2022,5971.0
LUBELSKIE,o charakterze kryminalnym,1 kwartał,2022,4253.0
LUBUSKIE,o charakterze kryminalnym,1 kwartał,2022,4109.0
ŁÓDZKIE,o charakterze kryminalnym,1 kwartał,2022,5865.0
MAŁOPOLSKIE,o charakterze kryminalnym,1 kwartał,2022,15437.0
MAZOWIECKIE,o charakterze kryminalnym,1 kwartał,2022,18730.0
OPOLSKIE,o charakterze kryminalnym,1 kwartał,2022,1984.0
PODKARPACKIE,o charakterze kryminalnym,1 kwartał,2022,2866.0
PODLASKIE,o charakterze kryminalnym,1 kwartał,2022,2587.0
POMORSKIE,o charakterze kryminalnym,1 kwartał,2022,8186.0
ŚLĄSKIE,o charakterze kryminalnym,1 kwartał,2022,17579.0
ŚWIĘTOKRZYSKIE,o charakterze kryminalnym,1 kwartał,2022,3270.0
WARMIŃSKO-MAZURSKIE,o charakterze kryminalnym,1 kwartał,2022,3568.0
WIELKOPOLSKIE,o charakterze kryminalnym,1 kwartał,2022,10434.0
ZACHODNIOPOMORSKIE,o charakterze kryminalnym,1 kwartał,2022,5893.0
POLSKA,o charakterze kryminalnym,1 kwartał,2023,128658.0
DOLNOŚLĄSKIE,o charakterze kryminalnym,1 kwartał,2023,12623.0
KUJAWSKO-POMORSKIE,o charakterze kryminalnym,1 kwartał,2023,6349.0
LUBELSKIE,o charakterze kryminalnym,1 kwartał,2023,3931.0
LUBUSKIE,o charakterze kryminalnym,1 kwartał,2023,4213.0
ŁÓDZKIE,o charakterze kryminalnym,1 kwartał,2023,6350.0
MAŁOPOLSKIE,o charakterze kryminalnym,1 kwartał,2023,15931.0
MAZOWIECKIE,o charakterze kryminalnym,1 kwartał,2023,18635.0
OPOLSKIE,o charakterze kryminalnym,1 kwartał,2023,2017.0
PODKARPACKIE,o charakterze kryminalnym,1 kwartał,2023,2893.0
PODLASKIE,o charakterze kryminalnym,1 kwartał,2023,2314.0
POMORSKIE,o charakterze kryminalnym,1 kwartał,2023,12432.0
ŚLĄSKIE,o charakterze kryminalnym,1 kwartał,2023,17599.0
ŚWIĘTOKRZYSKIE,o charakterze kryminalnym,1 kwartał,2023,3422.0
WARMIŃSKO-MAZURSKIE,o charakterze kryminalnym,1 kwartał,2023,3133.0
WIELKOPOLSKIE,o charakterze kryminalnym,1 kwartał,2023,9959.0
ZACHODNIOPOMORSKIE,o charakterze kryminalnym,1 kwartał,2023,6857.0
POLSKA,o charakterze kryminalnym,1 kwartał,2024,109448.0
DOLNOŚLĄSKIE,o charakterze kryminalnym,1 kwartał,2024,11431.0
KUJAWSKO-POMORSKIE,o charakterze kryminalnym,1 kwartał,2024,5881.0
LUBELSKIE,o charakterze kryminalnym,1 kwartał,2024,3784.0
LUBUSKIE,o charakterze kryminalnym,1 kwartał,2024,3601.0
ŁÓDZKIE,o charakterze kryminalnym,1 kwartał,2024,5791.0
MAŁOPOLSKIE,o charakterze kryminalnym,1 kwartał,2024,13618.0
MAZOWIECKIE,o charakterze kryminalnym,1 kwartał,2024,16873.0
OPOLSKIE,o charakterze kryminalnym,1 kwartał,2024,2404.0
PODKARPACKIE,o charakterze kryminalnym,1 kwartał,2024,3418.0
PODLASKIE,o charakterze kryminalnym,1 kwartał,2024,1806.0
POMORSKIE,o charakterze kryminalnym,1 kwartał,2024,7078.0
ŚLĄSKIE,o charakterze kryminalnym,1 kwartał,2024,14374.0
ŚWIĘTOKRZYSKIE,o charakterze kryminalnym,1 kwartał,2024,2457.0
WARMIŃSKO-MAZURSKIE,o charakterze kryminalnym,1 kwartał,2024,2764.0
WIELKOPOLSKIE,o charakterze kryminalnym,1 kwartał,2024,9140.0
ZACHODNIOPOMORSKIE,o charakterze kryminalnym,1 kwartał,2024,5028.0
POLSKA,o charakterze gospodarczym,1 kwartał,2016,38300.0
DOLNOŚLĄSKIE,o charakterze gospodarczym,1 kwartał,2016,4259.0
KUJAWSKO-POMORSKIE,o charakterze gospodarczym,1 kwartał,2016,1869.0
LUBELSKIE,o charakterze gospodarczym,1 kwartał,2016,1214.0
LUBUSKIE,o charakterze gospodarczym,1 kwartał,2016,1394.0
ŁÓDZKIE,o charakterze gospodarczym,1 kwartał,2016,1439.0
MAŁOPOLSKIE,o charakterze gospodarczym,1 kwartał,2016,5216.0
MAZOWIECKIE,o charakterze gospodarczym,1 kwartał,2016,3789.0
OPOLSKIE,o charakterze gospodarczym,1 kwartał,2016,807.0
PODKARPACKIE,o charakterze gospodarczym,1 kwartał,2016,927.0
PODLASKIE,o charakterze gospodarczym,1 kwartał,2016,685.0
POMORSKIE,o charakterze gospodarczym,1 kwartał,2016,2177.0
ŚLĄSKIE,o charakterze gospodarczym,1 kwartał,2016,8500.0
ŚWIĘTOKRZYSKIE,o charakterze gospodarczym,1 kwartał,2016,1346.0
WARMIŃSKO-MAZURSKIE,o charakterze gospodarczym,1 kwartał,2016,958.0
WIELKOPOLSKIE,o charakterze gospodarczym,1 kwartał,2016,2133.0
ZACHODNIOPOMORSKIE,o charakterze gospodarczym,1 kwartał,2016,1587.0
POLSKA,o charakterze gospodarczym,1 kwartał,2017,63977.0
DOLNOŚLĄSKIE,o charakterze gospodarczym,1 kwartał,2017,4881.0
KUJAWSKO-POMORSKIE,o charakterze gospodarczym,1 kwartał,2017,2462.0
LUBELSKIE,o charakterze gospodarczym,1 kwartał,2017,1375.0
LUBUSKIE,o charakterze gospodarczym,1 kwartał,2017,2540.0
ŁÓDZKIE,o charakterze gospodarczym,1 kwartał,2017,1760.0
MAŁOPOLSKIE,o charakterze gospodarczym,1 kwartał,2017,14590.0
MAZOWIECKIE,o charakterze gospodarczym,1 kwartał,2017,5275.0
OPOLSKIE,o charakterze gospodarczym,1 kwartał,2017,1265.0
PODKARPACKIE,o charakterze gospodarczym,1 kwartał,2017,1850.0
PODLASKIE,o charakterze gospodarczym,1 kwartał,2017,709.0
POMORSKIE,o charakterze gospodarczym,1 kwartał,2017,3041.0
ŚLĄSKIE,o charakterze gospodarczym,1 kwartał,2017,14433.0
ŚWIĘTOKRZYSKIE,o charakterze gospodarczym,1 kwartał,2017,3771.0
WARMIŃSKO-MAZURSKIE,o charakterze gospodarczym,1 kwartał,2017,1225.0
WIELKOPOLSKIE,o charakterze gospodarczym,1 kwartał,2017,3283.0
ZACHODNIOPOMORSKIE,o charakterze gospodarczym,1 kwartał,2017,1517.0
POLSKA,o charakterze gospodarczym,1 kwartał,2018,63849.0
DOLNOŚLĄSKIE,o charakterze gospodarczym,1 kwartał,2018,2864.0
KUJAWSKO-POMORSKIE,o charakterze gospodarczym,1 kwartał,2018,9427.0
LUBELSKIE,o charakterze gospodarczym,1 kwartał,2018,2621.0
LUBUSKIE,o charakterze gospodarczym,1 kwartał,2018,1606.0
ŁÓDZKIE,o charakterze gospodarczym,1 kwartał,2018,3438.0
MAŁOPOLSKIE,o charakterze gospodarczym,1 kwartał,2018,10360.0
MAZOWIECKIE,o charakterze gospodarczym,1 kwartał,2018,7440.0
OPOLSKIE,o charakterze gospodarczym,1 kwartał,2018,935.0
PODKARPACKIE,o charakterze gospodarczym,1 kwartał,2018,2147.0
PODLASKIE,o charakterze gospodarczym,1 kwartał,2018,995.0
POMORSKIE,o charakterze gospodarczym,1 kwartał,2018,2077.0
ŚLĄSKIE,o charakterze gospodarczym,1 kwartał,2018,11136.0
ŚWIĘTOKRZYSKIE,o charakterze gospodarczym,1 kwartał,2018,849.0
WARMIŃSKO-MAZURSKIE,o charakterze gospodarczym,1 kwartał,2018,1137.0
WIELKOPOLSKIE,o charakterze gospodarczym,1 kwartał,2018,3387.0
ZACHODNIOPOMORSKIE,o charakterze gospodarczym,1 kwartał,2018,3430.0
POLSKA,o charakterze gospodarczym,1 kwartał,2019,61497.0
DOLNOŚLĄSKIE,o charakterze gospodarczym,1 kwartał,2019,3664.0
KUJAWSKO-POMORSKIE,o charakterze gospodarczym,1 kwartał,2019,2101.0
LUBELSKIE,o charakterze gospodarczym,1 kwartał,2019,2153.0
LUBUSKIE,o charakterze gospodarczym,1 kwartał,2019,1867.0
ŁÓDZKIE,o charakterze gospodarczym,1 kwartał,2019,3235.0
MAŁOPOLSKIE,o charakterze gospodarczym,1 kwartał,2019,14188.0
MAZOWIECKIE,o charakterze gospodarczym,1 kwartał,2019,8658.0
OPOLSKIE,o charakterze gospodarczym,1 kwartał,2019,539.0
PODKARPACKIE,o charakterze gospodarczym,1 kwartał,2019,866.0
PODLASKIE,o charakterze gospodarczym,1 kwartał,2019,572.0
POMORSKIE,o charakterze gospodarczym,1 kwartał,2019,1880.0
ŚLĄSKIE,o charakterze gospodarczym,1 kwartał,2019,9950.0
ŚWIĘTOKRZYSKIE,o charakterze gospodarczym,1 kwartał,2019,2218.0
WARMIŃSKO-MAZURSKIE,o charakterze gospodarczym,1 kwartał,2019,1120.0
WIELKOPOLSKIE,o charakterze gospodarczym,1 kwartał,2019,3231.0
ZACHODNIOPOMORSKIE,o charakterze gospodarczym,1 kwartał,2019,5255.0
POLSKA,o charakterze gospodarczym,1 kwartał,2020,81860.0
DOLNOŚLĄSKIE,o charakterze gospodarczym,1 kwartał,2020,3327.0
KUJAWSKO-POMORSKIE,o charakterze gospodarczym,1 kwartał,2020,2290.0
LUBELSKIE,o charakterze gospodarczym,1 kwartał,2020,1663.0
LUBUSKIE,o charakterze gospodarczym,1 kwartał,2020,2416.0
ŁÓDZKIE,o charakterze gospodarczym,1 kwartał,2020,2632.0
MAŁOPOLSKIE,o charakterze gospodarczym,1 kwartał,2020,13866.0
MAZOWIECKIE,o charakterze gospodarczym,1 kwartał,2020,8222.0
OPOLSKIE,o charakterze gospodarczym,1 kwartał,2020,693.0
PODKARPACKIE,o charakterze gospodarczym,1 kwartał,2020,8640.0
PODLASKIE,o charakterze gospodarczym,1 kwartał,2020,682.0
